transport,clients,rate,n,p50ms_med,p99ms_med,p99ms_min,p99ms_max,p99_spread_x,wireKBperClient_med,cpuPct_med,loopP99MedMs_med,deliveryRatio_worst,missedRate_worst,clamped_total,generatorLimited_any,stable
longpoll,500,1,3,12.864,40.679,32.781,46.976,1.43,15.781,4.8,11.98,1,0,0,false,true
poll,500,1,3,504.807,1036.633,1036.633,1036.633,1,15.778,7.6,11.38,1,0,0,false,true
poll-debounced,500,1,3,352.269,835.363,835.363,835.363,1,58.113,17.3,10.99,1,0,0,false,true
sse,500,1,3,7.234,21.288,21.288,83.536,3.92,6.523,1.7,11.55,1,0,0,false,false
ws,500,1,3,6.264,24.582,13.824,24.582,1.78,5.98,1.7,11.44,1,0,0,false,true
longpoll,50,20,5,3.051,7.774,7.234,8.354,1.15,210.832,12.3,13.15,1,0,15,false,true
poll,50,20,5,504.807,1036.633,1036.633,1036.633,1,85,5.7,12.36,0.995,0,0,false,true
poll-debounced,50,20,5,26.416,54.247,54.247,54.247,1,215.825,12.7,11.34,1,0,29,false,true
sse,50,20,5,1.981,5.829,4.698,54.247,11.55,86.744,5.3,12.53,1,0,61,false,false
ws,50,20,5,2.288,4.698,4.698,5.425,1.15,79.689,5.6,12.53,1,0,0,false,true
longpoll,500,20,8,4.068,10.366,10.366,30.505,2.94,210.832,37.9,17.815,0.999,0,3832,false,false
poll,500,20,8,504.807,1036.633,1036.633,1036.633,1,85.362,10.7,11.565,1,0,4,false,true
poll-debounced,500,20,8,25.499,52.364,50.481,83.536,1.65,217.362,41.05,10.885,1,0,889,false,true
sse,500,20,8,5.627,10.753,9.647,30.505,3.16,86.744,19.15,19.185,1,0,0,false,false
ws,500,20,8,5.048,10.753,8.977,13.824,1.54,79.689,17.55,18.21,1,0,310,false,true
longpoll,2000,20,5,17.154,62.643,46.976,198.096,4.22,210.662,127.5,51.9,1,0,1311,false,false
poll,2000,20,5,504.807,1036.633,1036.633,1036.633,1,85.139,23.3,11.07,0.999,0,10,false,true
poll-debounced,2000,20,5,26.416,54.247,50.481,111.397,2.21,217.106,74.6,10.72,0.999,0,1831,false,false
sse,2000,20,5,9.647,17.154,17.154,83.536,4.87,86.744,27,23.23,1,0,0,false,false
ws,2000,20,5,8.354,17.154,15.963,17.154,1.07,79.689,28.7,23.48,1,0,6527,false,true
longpoll,5000,20,5,83.536,437.144,138.237,673.17,4.87,112.01,73.3,0,0.435,0,0,false,false
poll,5000,20,3,504.807,1036.633,1036.633,1036.633,1,127.755,41,10.95,0.999,0,7,false,true
poll-debounced,5000,20,4,326.933,15489.051,9646.616,19809.568,2.05,189.561,84.3,110.425,0.913,0,1,false,false
sse,5000,20,5,19.81,103.663,40.679,198.096,4.87,130.129,67.3,45.29,1,0,0,false,false
ws,5000,20,5,14.855,32.781,28.387,2128.752,74.99,119.734,54.7,40.01,0.947,0,6961,false,false
longpoll,10000,20,4,90.001,191.219,159.634,198.096,1.24,55.892,67.15,0,0.211,0,2,false,true
poll,10000,20,4,504.807,1036.633,1036.633,8976.871,8.66,127.722,47.55,10.885,0.999,0,154,false,false
poll-debounced,10000,20,4,3522.695,18434.23,17154.379,35226.947,2.05,141.616,68.45,54.465,0.953,0,1,false,false
sse,10000,20,4,77.737,341.803,212.875,406.794,1.91,112.225,97.65,104.035,0.828,0,0,false,true
ws,10000,20,3,128.64,777.365,582.942,4371.445,7.5,113.678,88,71.5,0.854,0,2250,false,false
longpoll,500,100,3,14.855,103.663,72.339,723.394,10,1363.504,94.7,20.58,1,0,1,false,false
poll,500,100,3,504.807,1036.633,1036.633,1036.633,1,598.754,12.9,11.21,0.999,0,92,false,true
poll-debounced,500,100,3,26.416,103.663,83.536,469.759,5.62,793.914,36.7,10.83,1,0,3389,false,false
sse,500,100,3,2.458,30.505,26.416,35.227,1.33,653.271,27.8,13.23,1,0,7843,false,true
ws,500,100,3,1.981,72.339,26.416,77.737,2.94,597.859,29.9,13.2,1,0,72463,false,false
