finishedAt,transport,clients,rate,rep,payloadBytes,pollIntervalMs,durationSec,latSamples,p50ms,p90ms,p95ms,p99ms,p999ms,maxMs,deliveryRatio,missedRate,wireBytesPerClient,appBytesPerClient,reqPerClientPerSec,serverCpuPct,serverRssMaxMB,serverLoopP99SliceMaxMs,serverLoopP99SliceMedMs,clampedSubResolution,serverBackpressure,generatorLoopP99ms,generatorLimited,errors,reconnects,runId
2026-08-27T10:17:55.361Z,poll,50,20,1,200,1000,20,20029,504.807,897.687,964.662,1036.633,1098.03,1098.03,1.0013,0,87305,81890,0.999,4.5,69.6,13.02,11.64,0,0,11.84,false,0,0,poll-c50-r20-1787825849426
2026-08-27T10:18:23.667Z,poll-debounced,50,20,1,200,1000,20,19999,24.582,43.714,46.976,54.247,54.247,58.198,1,0,221868,114183,19.932,10.5,73.5,11.14,10.99,0,0,11.67,false,0,0,poll-debounced-c50-r20-1787825877780
2026-08-27T10:18:51.954Z,longpoll,50,20,1,200,1000,20,20000,2.458,5.048,5.829,7.234,8.977,10.407,1,0,215892,107892,20,11.6,101.9,13.42,12.84,15,0,13.84,false,0,0,longpoll-c50-r20-1787825906071
2026-08-27T10:19:20.230Z,sse,50,20,1,200,1000,20,20000,1.843,3.278,3.786,6.732,37.855,37.869,1,0,88826,86420,0,4.7,80.4,12.83,12.05,1,0,11.77,false,0,0,sse-c50-r20-1787825934360
2026-08-27T10:19:48.543Z,ws,50,20,1,200,1000,20,20028,1.981,3.278,3.786,5.425,8.354,9.173,1.0013,0,81806,80112,0,5.1,63,12.79,11.99,0,0,11.78,false,0,0,ws-c50-r20-1787825962638
2026-08-27T10:20:17.375Z,poll,500,20,1,200,1000,20,200207,504.807,897.687,964.662,1036.633,1113.974,1132.108,1.001,0,87279,81858,1,9.4,56.2,11.82,11.28,1,0,11.7,false,0,0,poll-c500-r20-1787825990949
2026-08-27T10:20:46.205Z,poll-debounced,500,20,1,200,1000,20,200009,26.416,46.976,50.481,83.536,171.544,218.14,1,0,220945,113983,19.807,35.7,70.4,22.53,10.83,0,0,11.51,false,0,0,poll-debounced-c500-r20-1787826019780
2026-08-27T10:21:15.035Z,longpoll,500,20,1,200,1000,20,200000,4.068,7.234,8.354,12.864,19.81,23.624,1,0,215891,107891,19.999,36.8,134.6,18.5,17.79,61,0,12.67,false,0,0,longpoll-c500-r20-1787826048611
2026-08-27T10:21:43.862Z,sse,500,20,1,200,1000,20,200000,5.425,8.354,8.977,9.647,11.14,11.713,1.0001,0,88826,86420,0,19,96.2,19.78,19.37,0,0,11.85,false,0,0,sse-c500-r20-1787826077441
2026-08-27T10:22:12.725Z,ws,500,20,1,200,1000,20,200000,5.048,8.354,8.977,11.14,14.855,16.35,1,0,81602,80000,0,17.1,71.4,20.23,19.22,31,0,11.96,false,0,0,ws-c500-r20-1787826106268
2026-08-27T10:22:44.548Z,poll,2000,20,1,200,1000,20,800151,504.807,897.687,964.662,1036.633,1100.312,1100.312,1.0002,0,87221,81790,1,21.8,59.5,11.07,10.9,1,0,11.53,false,0,0,poll-c2000-r20-1787826135131
2026-08-27T10:23:16.371Z,poll-debounced,2000,20,1,200,1000,20,799924,24.582,43.714,46.976,54.247,58.294,122.881,1,0,222393,114321,20.016,74.2,95.7,14.06,10.67,346,0,11.08,false,0,0,poll-debounced-c2000-r20-1787826166954
2026-08-27T10:23:48.242Z,longpoll,2000,20,1,200,1000,20,800000,17.154,30.505,37.855,50.481,62.643,64.616,1,0,216431,107891,20,128.9,184.1,236.98,51.9,0,0,11.85,false,0,0,longpoll-c2000-r20-1787826198778
