finishedAt,transport,clients,rate,payloadBytes,pollIntervalMs,durationSec,latSamples,p50ms,p90ms,p95ms,p99ms,p999ms,maxMs,deliveryRatio,missedRate,wireBytesPerClient,appBytesPerClient,reqPerClientPerSec,serverCpuPct,serverRssMaxMB,serverLoopP99SliceMaxMs,serverLoopP99SliceMedMs,clampedSubResolution,serverBackpressure,generatorLoopP99ms,generatorLimited,errors,reconnects,runId
2026-08-27T09:47:01.496Z,poll,50,20,200,1000,20,19909,504.807,897.687,964.662,1036.633,1101.892,1101.892,0.9954,0,86781,81399,0.993,4.9,71.3,12.09,11.73,0,0,11.72,false,0,0,poll-c50-r20-1787823995549
2026-08-27T09:47:29.805Z,poll-debounced,50,20,200,1000,20,20001,26.416,46.976,50.481,54.247,54.247,58.409,1,0,221606,114130,19.894,14.1,71,11.21,11.09,0,0,11.67,false,0,0,poll-debounced-c50-r20-1787824023905
2026-08-27T09:47:58.089Z,longpoll,50,20,200,1000,20,20043,4.068,24.582,40.679,77.737,103.663,104.811,1.0021,0,216122,108068,20.003,10.6,92,20.56,13.17,0,0,14.49,false,0,0,longpoll-c50-r20-1787824052209
2026-08-27T09:48:26.371Z,sse,50,20,200,1000,20,20000,1.596,2.839,3.278,4.068,19.81,28.818,0.9999,0,88826,86420,0,5.1,83.1,14.75,12.08,131,0,11.85,false,0,0,sse-c50-r20-1787824080496
2026-08-27T09:48:54.669Z,ws,50,20,200,1000,20,20000,1.382,2.642,3.051,3.786,4.698,8.01,1,0,81602,80000,0,3.4,70.4,11.76,11.5,0,0,11.61,false,0,0,ws-c50-r20-1787824108778
2026-08-27T09:49:23.502Z,poll,500,20,200,1000,20,199756,504.807,897.687,964.662,1036.633,1100.765,1100.765,0.9987,0,87095,81675,0.998,7.4,82.9,11.6,11.18,0,0,11.68,false,0,0,poll-c500-r20-1787824137076
2026-08-27T09:49:52.364Z,poll-debounced,500,20,200,1000,20,200018,26.416,46.976,46.976,54.247,138.237,192.852,1.0001,0,222220,114286,19.985,31,70.5,12.75,10.76,125,0,11.11,false,0,0,poll-debounced-c500-r20-1787824165908
2026-08-27T09:50:21.352Z,longpoll,500,20,200,1000,20,201003,5.425,159.634,352.269,723.394,835.363,1498.257,1.0049,0,201317,105209,17.753,35.9,104.4,829.42,24.02,852,0,34.34,false,0,0,longpoll-c500-r20-1787824194769
2026-08-27T09:50:50.173Z,sse,500,20,200,1000,20,200000,4.698,8.354,8.977,12.864,37.855,41.897,1,0,88826,86420,0,16.3,78.1,24.05,18.89,0,0,11.91,false,0,0,sse-c500-r20-1787824223759
2026-08-27T09:51:19.017Z,ws,500,20,200,1000,20,200000,5.425,8.977,9.647,10.366,13.824,15.853,1,0,81602,80000,0,17.3,70.1,19.87,19.04,0,0,11.83,false,0,0,ws-c500-r20-1787824252578
2026-08-27T09:51:50.869Z,poll,2000,20,200,1000,20,800760,504.807,897.687,964.662,1036.633,1197.085,1446.5,1.0009,0,87257,81847,0.997,17.9,57.8,42.43,10.98,112,0,12.43,false,0,0,poll-c2000-r20-1787824281423
2026-08-27T09:52:22.723Z,poll-debounced,2000,20,200,1000,20,799744,32.781,67.317,103.663,469.759,1485.508,2154.617,0.9996,0,207198,110635,17.851,80.5,105.6,171.31,26.02,67,0,13.71,false,0,0,poll-debounced-c2000-r20-1787824313274
2026-08-27T09:52:54.760Z,longpoll,2000,20,200,1000,20,769356,62.643,138.237,184.342,327.812,406.794,486.481,0.9616,0,178783,97753,14.863,88.3,180,1372.59,403.18,0,0,15.11,false,74,0,longpoll-c2000-r20-1787824345128
2026-08-27T09:53:26.607Z,sse,2000,20,200,1000,20,800000,35.227,184.342,305.053,582.942,673.17,731.384,1,0,88826,86420,0,37.3,96.2,432.01,90.9,0,0,31.97,false,0,0,sse-c2000-r20-1787824377172
2026-08-27T09:53:58.501Z,ws,2000,20,200,1000,20,800000,8.354,14.855,15.963,40.679,72.339,76.397,1,0,81602,80000,0,24.7,68.6,28.7,22.58,98,0,11.94,false,0,0,ws-c2000-r20-1787824409010
2026-08-27T09:54:37.358Z,poll,500,1,200,1000,30,14993,504.807,897.687,964.662,1036.633,1096.463,1096.463,0.9995,0,16148,8053,0.999,8.8,67.8,13.84,11.24,0,0,11.72,false,0,0,poll-c500-r1-1787824440905
2026-08-27T09:55:16.176Z,poll-debounced,500,1,200,1000,30,15000,352.269,723.394,777.365,835.363,897.687,932.63,1,0,59485,18854,5.031,14.9,83,16.76,10.95,0,0,11.53,false,0,0,poll-debounced-c500-r1-1787824479764
