finishedAt,profile,transport,clients,rate,rep,latSamples,p50ms,p95ms,p99ms,maxMs,deliveryRatio,missed,reconnects,connectFailures,errors,wireBytesPerClient,backpressure,generatorLimited,runId
2026-08-27T12:13:38.507Z,clean,poll,400,20,1,159636,504.807,964.662,1036.633,1101.085,0.9976,0,0,0,0,87030,0,false,netem-clean-poll-c400-r20-1787832784876
2026-08-27T12:14:18.297Z,clean,poll-debounced,400,20,1,160045,26.416,54.247,138.237,288.192,1.0002,0,0,0,0,218724,0,false,netem-clean-poll-debounced-c400-r20-1787832824977
2026-08-27T12:14:57.908Z,clean,longpoll,400,20,1,160000,9.647,26.416,89.769,255.969,0.9996,0,0,0,0,214477,0,false,netem-clean-longpoll-c400-r20-1787832864563
2026-08-27T12:15:37.662Z,clean,sse,400,20,1,160000,8.977,15.963,21.288,30.927,0.9997,0,0,0,0,88852,0,false,netem-clean-sse-c400-r20-1787832904294
2026-08-27T12:16:17.182Z,clean,ws,400,20,1,160000,8.354,15.963,19.81,52.683,0.9999,0,0,0,0,81602,0,false,netem-clean-ws-c400-r20-1787832943818
2026-08-27T12:16:56.676Z,clean,poll-debounced,400,20,2,160018,26.416,50.481,54.247,115.673,1.0001,0,0,0,0,221667,0,false,netem-clean-poll-debounced-c400-r20-1787832983343
2026-08-27T12:17:36.159Z,clean,longpoll,400,20,2,160399,7.234,17.154,24.582,101.168,1.0024,0,0,0,0,216425,0,false,netem-clean-longpoll-c400-r20-1787833022785
2026-08-27T12:18:15.706Z,clean,sse,400,20,2,160000,9.647,17.154,22.876,109.132,0.9999,0,0,0,0,88852,0,false,netem-clean-sse-c400-r20-1787833062348
2026-08-27T12:18:55.194Z,clean,ws,400,20,2,160000,8.354,14.855,21.288,35.023,0.9996,0,0,0,0,81602,0,false,netem-clean-ws-c400-r20-1787833101822
2026-08-27T12:19:34.904Z,clean,poll,400,20,2,159877,504.807,964.662,1036.633,1145.337,0.999,0,0,0,0,87181,0,false,netem-clean-poll-c400-r20-1787833141582
2026-08-27T12:20:14.491Z,wifi,poll,400,20,1,160219,542.469,1036.633,1113.974,1153.42,1.0006,0,0,0,0,87265,0,false,netem-wifi-poll-c400-r20-1787833181098
2026-08-27T12:20:54.074Z,wifi,poll-debounced,400,20,1,160087,54.247,89.769,103.663,272.736,1.0002,0,0,0,0,180885,0,false,netem-wifi-poll-debounced-c400-r20-1787833220687
2026-08-27T12:21:33.666Z,wifi,longpoll,400,20,1,160000,50.481,159.634,212.875,332.258,0.9998,0,0,0,0,196982,0,false,netem-wifi-longpoll-c400-r20-1787833260264
2026-08-27T12:22:13.204Z,wifi,sse,400,20,1,160000,24.582,32.781,40.679,131.567,0.9999,0,0,0,0,89074,0,false,netem-wifi-sse-c400-r20-1787833299779
2026-08-27T12:22:52.779Z,wifi,ws,400,20,1,160000,24.582,32.781,40.679,137.379,0.9999,0,0,0,0,81806,0,false,netem-wifi-ws-c400-r20-1787833339334
2026-08-27T12:23:32.259Z,wifi,poll-debounced,400,20,2,159993,54.247,89.769,96.466,116.28,0.9999,0,0,0,0,181521,0,false,netem-wifi-poll-debounced-c400-r20-1787833378893
2026-08-27T12:24:11.692Z,wifi,longpoll,400,20,2,160041,24.582,32.781,35.227,44.072,1.0003,0,0,0,0,215892,0,false,netem-wifi-longpoll-c400-r20-1787833418349
2026-08-27T12:24:51.068Z,wifi,sse,400,20,2,160003,24.582,32.781,37.855,47.228,1,0,0,0,0,88852,0,false,netem-wifi-sse-c400-r20-1787833457669
2026-08-27T12:25:30.357Z,wifi,ws,400,20,2,160000,24.582,32.781,37.855,46.774,0.9999,0,0,0,0,81602,0,false,netem-wifi-ws-c400-r20-1787833496932
2026-08-27T12:26:09.704Z,wifi,poll,400,20,2,159988,542.469,1036.633,1113.974,1157.17,0.9998,0,0,0,0,87162,0,false,netem-wifi-poll-c400-r20-1787833536334
2026-08-27T12:26:49.196Z,mobile,poll,400,20,1,159538,626.434,1113.974,1197.085,1297.798,0.997,0,0,0,0,86809,0,false,netem-mobile-poll-c400-r20-1787833575776
2026-08-27T12:27:28.642Z,mobile,poll-debounced,400,20,1,160036,119.709,184.342,212.875,266.677,1.0002,0,0,0,0,144882,0,false,netem-mobile-poll-debounced-c400-r20-1787833615262
2026-08-27T12:28:08.116Z,mobile,longpoll,400,20,1,159983,89.769,138.237,159.634,239.317,0.9999,0,0,0,0,190134,0,false,netem-mobile-longpoll-c400-r20-1787833654694
2026-08-27T12:28:47.876Z,mobile,sse,400,20,1,159969,67.317,96.466,111.397,157.363,0.9997,0,0,0,0,89074,0,false,netem-mobile-sse-c400-r20-1787833694258
2026-08-27T12:29:27.699Z,mobile,ws,400,20,1,160002,62.643,96.466,111.397,193.664,0.9999,0,0,0,0,82010,0,false,netem-mobile-ws-c400-r20-1787833734056
2026-08-27T12:30:07.290Z,mobile,poll-debounced,400,20,2,160015,119.709,184.342,212.875,267.202,1,0,0,0,0,144779,0,false,netem-mobile-poll-debounced-c400-r20-1787833773864
2026-08-27T12:30:46.841Z,mobile,longpoll,400,20,2,160039,89.769,138.237,159.634,226.891,1.0001,0,0,0,0,190244,0,false,netem-mobile-longpoll-c400-r20-1787833813436
